"key"	"type"	"description"
"id"	"integer"	"ID sequencial, identificador único"
"created"	"datetime"	"Data de criação do evento. Deve ser inserido automaticamente"
"updated"	"datetime"	"Data de atualização do evento. Deve ser inserido automaticamente"
"type"	"string"	"Tipo de evento, 'generic' se não fornecido"
"medatada"	"json"	"Metadados. Informações quaisquer não otimzadas para busca calculos"
"annotations"	"text"	"Informação bruta que o usuário quer informar"
"param_datetime_1"	"datetime"	"Parametro genérico tipo datetime, número 1"
"param_datetime_2"	"datetime"	"Parametro genérico tipo datetime, número 2"
"param_datetime_3"	"datetime"	"Parametro genérico tipo datetime, número 3"
"param_integer_1"	"integer"	"Parametro genérico tipo ineger, número 1"
"param_integer_2"	"integer"	"Parametro genérico tipo ineger, número 2"
"param_integer_3"	"integer"	"Parametro genérico tipo ineger, número 3"
"param_string_1"	"string"	"Parametro genérico tipo string, número 1"
"param_string_2"	"string"	"Parametro genérico tipo string, número 2"
"param_string_3"	"string"	"Parametro genérico tipo string, número 3"
